est_method,error,nodes,node_count
Multilateration,26.738882163699632,Subset,NA
Multilateration,10.1699189322155,Subset,NA
Multilateration,15.348332005638111,Subset,NA
Multilateration,12.061858392240104,Subset,NA
Multilateration,49.84882176474637,Subset,NA
Multilateration,36.35193704865791,Subset,NA
Multilateration,38.086244068006735,Subset,NA
Multilateration,44.78204695022541,Subset,NA
Multilateration,26.741650625702547,Subset,NA
Multilateration,50.87331948771017,Subset,NA
Multilateration,26.34442744446582,Subset,NA
Multilateration,40.54440179716676,Subset,NA
Multilateration,44.815946513090495,Subset,NA
Multilateration,29.896623578071736,Subset,NA
Multilateration,34.524197849282174,Subset,NA
Multilateration,36.73703725610354,Subset,NA
Multilateration,45.48027395467028,Subset,NA
Multilateration,23.551548846433647,Subset,NA
Multilateration,27.55463619111823,Subset,NA
Multilateration,35.76245376497643,Subset,NA
Multilateration,0.5272916887009204,Subset,NA
Multilateration,37.5808433304829,Subset,NA
Multilateration,26.512571381235695,Subset,NA
Multilateration,20.682957439217,Subset,NA
Multilateration,27.9210207402286,Subset,NA
Multilateration,28.414545681912625,Subset,NA
Multilateration,49.22546642306642,Subset,NA
Multilateration,77.5491241857151,Subset,NA
Multilateration,47.77678631269925,Subset,NA
Multilateration,45.70555884004309,Subset,NA
Multilateration,27.264284378703017,Subset,NA
Multilateration,62.799413575802554,Subset,NA
Multilateration,52.18304659322279,Subset,NA
Multilateration,38.0204055518571,Subset,NA
Multilateration,109.02113133397368,Subset,NA
Multilateration,48.50101321280781,Subset,NA
Multilateration,37.00283413272437,Subset,NA
Multilateration,3.7170108425095103,Subset,NA
Multilateration,47.31823795847421,Subset,NA
Multilateration,22.795107722271755,Subset,NA
Multilateration,87.52449857417001,Subset,NA
Multilateration,39.019254718194695,Subset,NA
Multilateration,75.97311641503585,Subset,NA
Multilateration,85.01051918958038,Subset,NA
Multilateration,32.976001619140575,Subset,NA
Multilateration,89.01137201153277,Subset,NA
Multilateration,12.876939143325638,Subset,NA
Multilateration,18.68384162734981,Subset,NA
Multilateration,8.613171342273636,Subset,NA
Multilateration,8.22914180411338,Subset,NA
Multilateration,38.130645341374006,Subset,NA
Multilateration,34.10684310209547,Subset,NA
Multilateration,15.396482758146568,Subset,NA
Multilateration,33.37387511864287,Subset,NA
Multilateration,19.67331303314851,Subset,NA
Multilateration,13.18756599205593,Subset,NA
Multilateration,59.965135162503564,Subset,NA
Multilateration,22.393386745986252,Subset,NA
Multilateration,38.25454594597602,Subset,NA
Multilateration,33.32343660417782,Subset,NA
Multilateration,25.59265968060796,Subset,NA
Multilateration,60.379100064253855,Subset,NA
Multilateration,59.99206733678593,Subset,NA
Multilateration,46.88693679986657,Subset,NA
Multilateration,31.371441054400368,Subset,NA
Multilateration,78.10700237160735,Subset,NA
Multilateration,60.070823428767824,Subset,NA
Multilateration,41.354055998928374,Subset,NA
Multilateration,53.74845225437716,Subset,NA
Multilateration,38.27141691137494,Subset,NA
Multilateration,33.87160725599998,Subset,NA
Multilateration,32.64519475092389,Subset,NA
Multilateration,42.70992675684038,Subset,NA
Multilateration,47.43844317278302,Subset,NA
Multilateration,62.14681936754887,Subset,NA
Multilateration,89.52505735618267,Subset,NA
Multilateration,86.6247743038971,Subset,NA
Multilateration,16.05406208668512,Subset,NA
Multilateration,17.294267625288434,Subset,NA
Multilateration,51.47501639625053,Subset,NA
Multilateration,60.6104942738763,Subset,NA
Multilateration,74.40591595383971,Subset,NA
Multilateration,43.197161294185364,Subset,NA
Multilateration,44.771209424986466,Subset,NA
Multilateration,33.694807404307596,Subset,NA
Multilateration,46.152462964910995,Subset,NA
Multilateration,37.07901742027095,Subset,NA
Multilateration,45.53221207432932,Subset,NA
Multilateration,19.736198573867085,Subset,NA
Multilateration,24.277630989801516,Subset,NA
Multilateration,22.65250420928083,Subset,NA
Multilateration,4.9962456995530635,Subset,NA
Multilateration,5.4021405818242645,Subset,NA
Multilateration,4.967171489882481,Subset,NA
Multilateration,64.57841925228483,Subset,NA
Multilateration,22.280540698147732,Subset,NA
Multilateration,35.90555467552808,Subset,NA
Multilateration,47.92365693513253,Subset,NA
Multilateration,40.931300036037584,Subset,NA
Multilateration,22.970366322511396,Subset,NA
Multilateration,47.114767468866425,Subset,NA
Multilateration,43.35586374537609,Subset,NA
Multilateration,51.0035510134847,Subset,NA
Multilateration,39.037012498168394,Subset,NA
Multilateration,25.5221550729567,Subset,NA
Multilateration,32.91720729965886,Subset,NA
Multilateration,69.39322276067615,Subset,NA
Multilateration,58.05314811733578,Subset,NA
Multilateration,105.28452032878212,Subset,NA
Multilateration,33.19705589437854,Subset,NA
Multilateration,28.502774690996542,Subset,NA
Multilateration,37.7895013768239,Subset,NA
Multilateration,40.39814552262926,Subset,NA
Multilateration,33.61441062960136,Subset,NA
Multilateration,61.62046636103045,Subset,NA
Multilateration,44.16633502219529,Subset,NA
Multilateration,57.88522245840508,Subset,NA
Multilateration,73.76117408901355,Subset,NA
Multilateration,13.39434479031699,Subset,NA
Multilateration,60.12435273090458,Subset,NA
Multilateration,39.262079497003946,Subset,NA
Multilateration,48.920338100643946,Subset,NA
Multilateration,54.13440157938999,Subset,NA
Multilateration,67.23761647426927,Subset,NA
Multilateration,24.84092652202345,Subset,NA
Multilateration,42.71272461668995,Subset,NA
Multilateration,36.144856729843895,Subset,NA
Multilateration,29.424394411920336,Subset,NA
Multilateration,59.34303067244738,Subset,NA
Multilateration,18.31802377412375,Subset,NA
Multilateration,31.175703038924837,Subset,NA
Multilateration,39.39113954104842,Subset,NA
Multilateration,44.83179011730174,Subset,NA
Multilateration,104.55978407194762,Subset,NA
Multilateration,54.211194107942646,Subset,NA
Multilateration,70.37189677353142,Subset,NA
Multilateration,85.10150860887643,Subset,NA
Multilateration,66.44092785832889,Subset,NA
Multilateration,71.8753112276729,Subset,NA
Multilateration,90.52903623729676,Subset,NA
Multilateration,101.70258066719153,Subset,NA
Multilateration,64.3214629297908,Subset,NA
Multilateration,66.50800377763974,Subset,NA
Multilateration,63.13539205490561,Subset,NA
Multilateration,67.3921820358582,Subset,NA
Multilateration,41.22442682350989,Subset,NA
Multilateration,50.95369574305567,Subset,NA
Multilateration,4.6178075608576314,Subset,NA
Multilateration,75.35980072351545,Subset,NA
Multilateration,77.95565086011521,Subset,NA
Multilateration,79.1469321071482,Subset,NA
Multilateration,81.61049898161534,Subset,NA
Multilateration,82.48619709697545,Subset,NA
Multilateration,84.44853579860838,Subset,NA
Multilateration,86.32531150840877,Subset,NA
Multilateration,86.32238387251648,Subset,NA
Multilateration,103.67297688892891,Subset,NA
Multilateration,109.15541592569036,Subset,NA
Multilateration,98.52229320768568,Subset,NA
Multilateration,99.63979626628526,Subset,NA
Multilateration,126.9442408103106,Subset,NA
Multilateration,117.3971106407228,Subset,NA
Multilateration,125.20192521824676,Subset,NA
Multilateration,76.00133467681137,Subset,NA
Multilateration,43.42945665232491,Subset,NA
Multilateration,34.83121670591716,Subset,NA
Multilateration,46.61146681709938,Subset,NA
Multilateration,35.40551733562125,Subset,NA
Multilateration,40.57115236543598,Subset,NA
Multilateration,42.07595016986142,Subset,NA
Multilateration,36.107427830283086,Subset,NA
