tag,cp,error,x_cal,y_cal,x_est,y_est,node_count
07610752,D_1,35.303072155806525,186361.04218232972,447789.6333900743,186335.24075359537,447765.5378888572,24
78335578,D_1,19.54104288052529,186361.04218232972,447789.6333900743,186378.83644462007,447797.7090687703,27
34191966,D_1,41.67733457903001,186361.04218232972,447789.6333900743,186395.18381382985,447813.53630236804,16
07610752,D_12,87.4750920971864,186352.01322200985,447514.82275793585,186420.21113161926,447569.6035653625,13
34191966,D_12,61.05052869674132,186352.01322200985,447514.82275793585,186403.30742020984,447547.9297403591,11
78335578,D_12,26.140167180026328,186352.01322200985,447514.82275793585,186326.93665100876,447507.44211250154,19
07610752,D_13,29.77883286364773,186351.1924239052,447489.8399719817,186366.7570895408,447515.2273718165,14
34191966,D_13,16.586787497420868,186351.1924239052,447489.8399719817,186350.41069490224,447473.2716160207,16
78335578,D_13,15.586160722454661,186351.1924239052,447489.8399719817,186352.60500241918,447505.3619895055,18
07610752,D_14,99.85533652916992,186350.37162854627,447464.8571858377,186286.05276646646,447541.2389389867,15
78335578,D_14,95.86050402838113,186350.37162854627,447464.8571858377,186303.2390716366,447548.33028516755,12
34191966,D_14,79.10160292295983,186350.37162854627,447464.8571858377,186300.315384189,447526.1061530602,11
07610752,D_15,100.59307576220863,186349.5508359318,447439.87439947267,186294.50435075775,447524.06971621467,16
78335578,D_15,94.51842951130998,186349.5508359318,447439.87439947267,186285.0154521882,447508.93175072764,12
34191966,D_15,68.27635341834295,186349.5508359318,447439.87439947267,186363.9633569981,447506.61224235524,11
07610752,D_16,18.973535035503225,186343.44697776975,448015.2992892373,186325.83004771077,448008.2538079166,25
34191966,D_16,23.759084512461037,186343.44697776975,448015.2992892373,186326.57315629057,447998.5730151286,17
78335578,D_16,35.754607329348254,186343.44697776975,448015.2992892373,186325.76637147873,447984.2221576699,24
34191966,D_17,23.71303875877043,186342.62612456517,447990.3165045475,186324.63926953624,447974.8639561058,21
07610752,D_17,26.643129406175653,186342.62612456517,447990.3165045475,186317.9461772901,448000.35426062415,22
78335578,D_17,23.143660109930973,186342.62612456517,447990.3165045475,186325.91586874946,448006.32888581505,17
07610752,D_18,35.21764998431539,186341.8052741061,447965.333719658,186376.38047633905,447972.02985742304,16
34191966,D_18,40.10337507417133,186341.8052741061,447965.333719658,186381.89973943878,447964.4884137811,15
78335578,D_18,79.88345201259457,186341.8052741061,447965.333719658,186416.81545580344,447937.8593944219,18
34191966,D_19,1.392915194762029,186340.9844263922,447940.3509345682,186340.93868745933,447938.958770537,21
07610752,D_19,26.37330909541873,186340.9844263922,447940.3509345682,186331.75752517936,447915.64434179117,22
78335578,D_19,24.996266663365187,186340.9844263922,447940.3509345682,186340.16358142276,447915.3681492823,20
78335578,D_2,34.66223845673461,186360.22135402984,447764.65060633107,186335.92531353617,447789.37252355367,22
07610752,D_2,29.870770666824846,186360.22135402984,447764.65060633107,186384.3324651018,447747.01776018797,25
34191966,D_2,42.64761782856899,186360.22135402984,447764.65060633107,186402.8248056844,447762.710190507,18
07610752,D_20,29.649664884169525,186340.1635814228,447915.36814928224,186358.43697116995,447938.7173645772,21
34191966,D_20,17.829511839556467,186340.1635814228,447915.36814928224,186326.37309497286,447926.66921011347,19
78335578,D_20,36.590562760966826,186340.1635814228,447915.36814928224,186373.49716738495,447930.4592503046,21
07610752,D_21,26.35322535839437,186339.3427391983,447890.3853637994,186330.17900047102,447865.67669367476,23
34191966,D_21,97.51710525306832,186339.3427391983,447890.3853637994,186375.67498893774,447980.8815153519,17
78335578,D_21,55.64855825281309,186339.3427391983,447890.3853637994,186366.03452252824,447939.2147682427,18
07610752,D_22,18.70572763483681,186338.52189971888,447865.40257811494,186321.4346266427,447857.79144513956,24
34191966,D_22,58.404106057957904,186338.52189971888,447865.40257811494,186372.1793555129,447913.133231514,20
78335578,D_22,8.702909089039814,186338.52189971888,447865.40257811494,186330.16396048057,447867.82857858913,21
07610752,D_23,36.59949956728309,186337.701062984,447840.4197922286,186354.98657724893,447872.68020706123,19
34191966,D_23,29.620766588818107,186337.701062984,447840.4197922286,186361.7278999508,447823.09637112654,16
78335578,D_23,18.855391475726385,186337.701062984,447840.4197922286,186320.60413973383,447832.468628598,23
07610752,D_24,68.19231265672028,186336.8802289946,447815.43700615014,186343.40307281096,447747.55737729126,20
34191966,D_24,48.368766823458564,186336.8802289946,447815.43700615014,186379.08796019366,447839.0599829111,19
78335578,D_24,52.331609863474355,186336.8802289946,447815.43700615014,186318.30490775366,447766.5130362407,20
07610752,D_3,82.54122191013418,186359.4005284747,447739.6678223943,186276.89438411104,447742.0739513725,25
34191966,D_3,58.74314997620341,186359.4005284747,447739.6678223943,186399.02449036713,447696.30079214,13
78335578,D_3,60.05220266518085,186359.4005284747,447739.6678223943,186408.7729605579,447705.4825917364,17
07610752,D_4,24.394531497472553,186358.5797056649,447714.6850382556,186335.79860675876,447723.4094121363,18
78335578,D_4,50.78294448889486,186358.5797056649,447714.6850382556,186387.82290125976,447673.16705465375,19
34191966,D_4,34.35647285725435,186358.5797056649,447714.6850382556,186391.972068096,447722.7669537749,14
07610752,D_5,52.18752196374724,186357.7588856004,447689.7022539229,186407.72383755277,447704.7701345009,18
34191966,D_5,1.0366886768937953,186357.7588856004,447689.7022539229,186356.8876773773,447689.1403645701,16
78335578,D_5,46.10401863414173,186357.7588856004,447689.7022539229,186401.05948592845,447673.8706859194,14
78335578,D_6,43.07917098674034,186356.93806828116,447664.7194693815,186399.88691111206,447661.3710559674,17
07610752,D_6,27.714395323619797,186356.93806828116,447664.7194693815,186330.67732787493,447655.8616354775,14
34191966,D_6,49.01071146009858,186356.93806828116,447664.7194693815,186307.98662215553,447667.1289838625,13
07610752,D_7,128.89803794596676,186356.11725370624,447639.73668464,186411.52102782569,447523.35315487895,13
34191966,D_7,117.99681825105819,186356.11725370624,447639.73668464,186402.59213734017,447531.2777785576,13
78335578,D_7,93.89317189236904,186356.11725370624,447639.73668464,186420.2937980328,447571.1998413635,14
524B0778,E_1,72.38052834204171,186336.0593977495,447790.45421986975,186396.22408094927,447830.6929049693,23
664B1E61,E_1,58.2264122444954,186336.0593977495,447790.45421986975,186394.24667614914,447788.3198077007,18
78521E33,E_1,68.07961020814896,186336.0593977495,447790.45421986975,186403.89279842895,447796.23894789733,24
524B0778,E_11,11.489719961535306,186327.8512362715,447540.6263460136,186335.7945319933,447532.3246764303,15
78521E33,E_11,60.82667438092474,186327.8512362715,447540.6263460136,186385.86762848363,447522.35115652264,17
664B1E61,E_11,75.34267697545792,186327.8512362715,447540.6263460136,186403.03910549943,447545.4536946433,9
524B0778,E_12,11.964903426298594,186327.0304352201,447515.64355752344,186336.35418207274,447523.14200127055,16
664B1E61,E_12,65.72542086690387,186327.0304352201,447515.64355752344,186330.08235221746,447581.2980832682,11
78521E33,E_12,26.946170510972326,186327.0304352201,447515.64355752344,186353.74260520385,447512.10010158806,17
664B1E61,E_13,53.29673887219178,186326.20963691408,447490.6607688297,186366.3755161423,447455.62871892913,12
78521E33,E_13,23.367103723888192,186326.20963691408,447490.6607688297,186324.0111435355,447467.3973175959,17
524B0778,E_13,41.75728520533421,186326.20963691408,447490.6607688297,186302.74400416765,447525.20110680617,15
524B0778,E_14,124.03873052484855,186325.38884135248,447465.6779799372,186287.55165098264,447583.80483418773,16
78521E33,E_14,26.016527962220078,186325.38884135248,447465.6779799372,186317.85514060897,447490.5798489497,16
664B1E61,E_14,50.771179087653174,186325.38884135248,447465.6779799372,186375.71099441644,447472.4154525314,11
524B0778,E_15,104.06181786702241,186324.5680485356,447440.69519083464,186302.4826693554,447542.3863800511,18
78521E33,E_15,52.46860733522097,186324.5680485356,447440.69519083464,186342.72645970536,447489.9214730372,16
