method,error
Random Forest,32.2865646543868
Random Forest,10.809390518961544
Random Forest,43.80575380005084
Random Forest,58.89559419559543
Random Forest,66.46883426586705
Random Forest,20.107716140635464
Random Forest,58.40643356226962
Random Forest,23.47150568348224
Random Forest,32.98964446092227
Random Forest,51.27436166065668
Random Forest,25.459763139982783
Random Forest,23.614546966045
Random Forest,26.464887660952517
Random Forest,82.73914878473761
Random Forest,53.60546585019385
Random Forest,44.20673507556186
Random Forest,66.97612104585995
Random Forest,36.43872494652642
Random Forest,62.49293194358669
Random Forest,20.44004650673219
Random Forest,38.542501837512134
Random Forest,12.573723971966826
Random Forest,10.293517663659548
Random Forest,39.98400853917547
Random Forest,63.27263351765356
Random Forest,76.11935272976123
Random Forest,58.97242340668259
