est_method,cp_time,cp,tag,dets,error
knn,5,I_21,19614B34,26,372
knn,5,I_21,554B554C,26,403
knn,5,I_22,071E2A4C,28,425
knn,5,I_22,19614B34,28,372
knn,5,I_22,554B554C,28,75
knn,5,I_23,071E2A4C,17,410
knn,5,I_23,19614B34,17,173
knn,5,I_23,554B554C,17,206
knn,5,I_24,071E2A4C,40,50
knn,5,I_24,19614B34,40,78
knn,5,I_24,554B554C,40,287
knn,5,I_3,071E2A4C,40,152
knn,5,I_3,19614B34,40,132
knn,5,I_3,554B554C,40,90
knn,5,I_4,071E2A4C,47,251
knn,5,I_4,19614B34,47,145
knn,5,I_4,554B554C,47,108
knn,5,I_5,071E2A4C,48,115
knn,5,I_5,19614B34,48,65
knn,5,I_5,554B554C,48,182
knn,5,I_6,071E2A4C,17,238
knn,5,I_6,19614B34,17,196
knn,5,I_6,554B554C,17,248
knn,5,I_7,071E2A4C,33,224
knn,5,I_7,19614B34,33,157
knn,5,I_7,554B554C,33,51
knn,5,I_8,071E2A4C,15,215
knn,5,I_8,19614B34,15,212
knn,5,I_8,554B554C,15,185
knn,5,I_9,071E2A4C,27,194
knn,5,I_9,19614B34,27,157
knn,5,I_9,554B554C,27,148
knn,5,J_1,072A5219,52,194
knn,5,J_1,07614B78,52,167
knn,5,J_1,66782A34,52,130
knn,5,J_10,072A5219,47,8
knn,5,J_10,07614B78,47,26
knn,5,J_10,66782A34,47,71
knn,5,J_11,072A5219,48,51
knn,5,J_11,07614B78,48,30
knn,5,J_11,66782A34,48,42
knn,5,J_12,072A5219,43,323
knn,5,J_12,07614B78,43,34
knn,5,J_12,66782A34,43,34
knn,5,J_13,072A5219,33,158
knn,5,J_13,07614B78,33,76
knn,5,J_13,66782A34,33,127
knn,5,J_14,072A5219,37,37
knn,5,J_14,07614B78,37,42
knn,5,J_14,66782A34,37,149
knn,5,J_15,072A5219,50,45
knn,5,J_15,07614B78,50,108
knn,5,J_15,66782A34,50,151
knn,5,J_16,072A5219,40,67
knn,5,J_16,07614B78,40,56
knn,5,J_16,66782A34,40,175
knn,5,J_17,072A5219,56,35
knn,5,J_17,07614B78,56,68
knn,5,J_17,66782A34,56,79
knn,5,J_18,072A5219,61,35
knn,5,J_18,07614B78,61,56
knn,5,J_18,66782A34,61,59
knn,5,J_19,072A5219,61,110
knn,5,J_19,07614B78,61,47
knn,5,J_19,66782A34,61,63
knn,5,J_2,072A5219,72,26
knn,5,J_2,07614B78,72,140
knn,5,J_2,66782A34,72,69
knn,5,J_20,072A5219,43,128
knn,5,J_20,07614B78,43,53
knn,5,J_20,66782A34,43,421
knn,5,J_21,072A5219,56,356
knn,5,J_21,07614B78,56,18
knn,5,J_21,66782A34,56,26
knn,5,J_22,072A5219,47,118
knn,5,J_22,07614B78,47,93
knn,5,J_22,66782A34,47,132
knn,5,J_23,072A5219,49,118
knn,5,J_23,07614B78,49,150
knn,5,J_23,66782A34,49,97
knn,5,J_24,072A5219,51,135
knn,5,J_24,07614B78,51,127
knn,5,J_24,66782A34,51,150
knn,5,J_3,072A5219,61,219
knn,5,J_3,07614B78,61,34
knn,5,J_3,66782A34,61,72
knn,5,J_4,072A5219,64,75
knn,5,J_4,07614B78,64,118
knn,5,J_4,66782A34,64,34
knn,5,J_5,072A5219,55,153
knn,5,J_5,07614B78,55,59
knn,5,J_5,66782A34,55,27
knn,5,J_6,072A5219,28,254
knn,5,J_6,07614B78,28,298
knn,5,J_6,66782A34,28,60
knn,5,J_7,072A5219,51,190
knn,5,J_7,07614B78,51,90
knn,5,J_7,66782A34,51,100
knn,5,J_8,072A5219,33,116
knn,5,J_8,07614B78,33,219
knn,5,J_8,66782A34,33,185
knn,5,J_9,072A5219,40,203
knn,5,J_9,07614B78,40,45
knn,5,J_9,66782A34,40,54
knn,5,K_1,34075261,54,111
knn,5,K_1,521E1933,54,50
knn,5,K_1,552A2D4B,54,146
knn,5,K_10,34075261,44,182
knn,5,K_10,521E1933,44,142
knn,5,K_10,552A2D4B,44,26
knn,5,K_11,34075261,50,60
knn,5,K_11,521E1933,50,67
knn,5,K_11,552A2D4B,50,16
knn,5,K_12,34075261,41,58
knn,5,K_12,521E1933,41,142
knn,5,K_12,552A2D4B,41,42
knn,5,K_13,34075261,47,61
knn,5,K_13,521E1933,47,59
knn,5,K_13,552A2D4B,47,151
knn,5,K_14,34075261,34,167
knn,5,K_14,521E1933,34,12
knn,5,K_14,552A2D4B,34,69
knn,5,K_15,34075261,30,604
knn,5,K_15,521E1933,30,71
knn,5,K_15,552A2D4B,30,41
knn,5,K_16,34075261,40,24
knn,5,K_16,521E1933,40,38
knn,5,K_16,552A2D4B,40,25
knn,5,K_17,34075261,28,559
knn,5,K_17,521E1933,28,19
knn,5,K_17,552A2D4B,28,34
knn,5,K_18,34075261,49,100
knn,5,K_18,521E1933,49,47
knn,5,K_18,552A2D4B,49,45
knn,5,K_19,34075261,50,125
knn,5,K_19,521E1933,50,67
knn,5,K_19,552A2D4B,50,25
knn,5,K_2,34075261,42,112
knn,5,K_2,521E1933,42,51
knn,5,K_2,552A2D4B,42,347
knn,5,K_20,34075261,54,100
knn,5,K_20,521E1933,54,74
