cp,tag,x_cal,y_cal,x_est,y_est,error
C_18,782D5207,186366.78805729173,447964.51287064806,186379.82411438317,447943.0758495133,25.08953286977929
C_19,4B2A5555,186365.96720977605,447939.5300883058,186352.8126173176,447909.6053177268,32.68845663159499
C_19,55346178,186365.96720977605,447939.5300883058,186361.74689471457,447894.4969567648,45.230454293662916
C_19,782D5207,186365.96720977605,447939.5300883058,186364.77819809355,447921.05902361934,18.509294406686347
C_2,4B2A5555,186386.84579500952,447813.7953412723,186375.20762053606,447800.8948597317,17.374392911803703
C_2,55346178,186386.84579500952,447813.7953412723,186410.24811503434,447803.23919913033,25.67295696770899
C_2,782D5207,186386.84579500952,447813.7953412723,186392.71133983735,447832.2082098691,19.32455293376437
C_20,4B2A5555,186365.14636500546,447914.547305762,186359.35786217797,447937.5060151389,23.677185247304504
C_20,55346178,186365.14636500546,447914.547305762,186331.76657207846,447917.20999488083,33.485825198035606
C_20,782D5207,186365.14636500546,447914.547305762,186374.2129136692,447907.8402920802,11.277692015664996
C_21,4B2A5555,186364.32552297984,447889.56452302565,186360.29386467263,447932.11025338183,42.73632459919007
C_21,55346178,186364.32552297984,447889.56452302565,186343.70247505297,447905.24511556554,25.907355870412747
C_21,782D5207,186364.32552297984,447889.56452302565,186383.46962669058,447891.6393282937,19.256207409246915
C_22,4B2A5555,186363.50468369978,447864.5817400806,186361.3619825467,447902.5192894784,37.99801077086944
C_22,55346178,186363.50468369978,447864.5817400806,186315.33607865873,447843.701236939,52.49961831335097
C_22,782D5207,186363.50468369978,447864.5817400806,186374.6520548048,447867.62978707853,11.556577047504707
C_23,4B2A5555,186362.68384716418,447839.5989569453,186380.36478218393,447853.0755079675,22.23134927588781
C_23,55346178,186362.68384716418,447839.5989569453,186371.09670898196,447837.27437886014,8.728110175692509
C_23,782D5207,186362.68384716418,447839.5989569453,186401.65398271158,447849.9789018526,40.32883237661987
C_3,4B2A5555,186386.02496416407,447788.81256047747,186417.20429672825,447774.5622273173,34.281522345473356
C_3,55346178,186386.02496416407,447788.81256047747,186356.91450134298,447766.0638047319,36.9448904942279
C_3,782D5207,186386.02496416407,447788.81256047747,186429.78591222432,447724.26093064045,77.98675201435195
C_4,4B2A5555,186385.20413606465,447763.82977948117,186390.31640844504,447747.2601506836,17.340355457172972
C_4,55346178,186385.20413606465,447763.82977948117,186346.88516221344,447765.4525950192,38.35332172420782
C_4,782D5207,186385.20413606465,447763.82977948117,186311.3512427654,447748.7768127998,75.37135831720522
C_5,4B2A5555,186384.3833107096,447738.84699829447,186360.76336483588,447720.32475953095,30.01624846464034
C_5,55346178,186384.3833107096,447738.84699829447,186323.56959053306,447791.4701271734,80.42078248016126
C_5,782D5207,186384.3833107096,447738.84699829447,186360.50822223802,447676.67883441783,66.59504823422212
C_6,4B2A5555,186383.56248810005,447713.86421690555,186394.17441954894,447722.1304309039,13.451519726143712
C_6,55346178,186383.56248810005,447713.86421690555,186380.51370456323,447707.7859768324,6.80000613540198
C_6,782D5207,186383.56248810005,447713.86421690555,186403.58865575423,447727.07358086546,23.99030402346248
C_7,4B2A5555,186382.74166823577,447688.88143531414,186412.81404835082,447612.91155299096,81.70539190274191
C_7,55346178,186382.74166823577,447688.88143531414,186310.39343600644,447689.1956316451,72.34891447729605
C_7,782D5207,186382.74166823577,447688.88143531414,186429.33119834427,447709.20013786433,50.827492452942316
C_8,4B2A5555,186381.9208511173,447663.8986535168,186407.5873504791,447631.1591781994,41.60099077600574
C_8,55346178,186381.9208511173,447663.8986535168,186403.06014414545,447679.1863303674,26.0879813941107
C_8,782D5207,186381.9208511173,447663.8986535168,186345.33155566198,447680.3583028731,40.121024399297355
D_1,07610752,186361.04218232975,447789.6333900729,186331.54168360584,447757.56359704083,43.57466064216011
D_1,34191966,186361.04218232975,447789.6333900729,186359.9208137877,447783.11577703216,6.613376380945231
D_1,78335578,186361.04218232975,447789.6333900729,186352.96884102665,447781.45237904944,11.49381490900065
D_12,07610752,186352.01322200985,447514.82275793125,186391.38165971963,447592.39274675894,86.988373099147
