est_method,nodes,tag,x,y,x_est,y_est,cp,error,node_count
ml,odd,66782A34,185880.623039009,447630.3493350636,185897.9865047973,447633.9955957554,W_2,17.74218591984582,2
ml,odd,07614B78,185880.623039009,447630.3493350636,185888.9406995726,447684.475342059,W_2,54.761374257005066,2
ml,odd,072A5219,185880.623039009,447630.3493350636,185901.39433123358,447614.97835728485,W_2,25.84015360932949,2
ml,odd,07614B78,185881.44385465808,447655.33217213093,185893.56852223433,447691.3944242767,W_1,38.045940567434485,3
ml,odd,072A5219,185881.44385465808,447655.33217213093,185904.46054337462,447639.0504765295,W_1,28.193289469857646,3
ml,odd,66782A34,185881.44385465808,447655.33217213093,185897.8028371499,447675.3071862683,W_1,25.81893680919424,3
ml,odd,07610752,185933.87198442942,447728.63903197553,185914.24135180816,447739.03286531754,T_24,22.21246291280025,3
ml,odd,34191966,185933.87198442942,447728.63903197553,185930.3557186929,447728.06364546384,T_24,3.5630316259634283,3
ml,odd,78335578,185933.87198442942,447728.63903197553,185907.54389353417,447717.0984616138,T_24,28.746358629618907,3
ml,odd,07610752,185934.69281064335,447753.6218627616,185952.95071967912,447743.480431877,T_23,20.885398314271537,3
ml,odd,78335578,185934.69281064335,447753.6218627616,185947.12726727736,447741.35290883336,T_23,17.468341142676532,3
ml,odd,34191966,185934.69281064335,447753.6218627616,185944.39203423672,447738.0224567379,T_23,18.368897806014516,3
ml,odd,78335578,185935.5136395998,447778.6046933303,185945.65296440767,447774.0520263964,T_22,11.114525800515073,3
ml,odd,34191966,185935.5136395998,447778.6046933303,185937.09402279774,447740.0025433498,T_22,38.634487108912026,3
ml,odd,07610752,185935.5136395998,447778.6046933303,185947.13698171568,447739.6566106628,T_22,40.64548222638925,3
ml,odd,07610752,185936.33447129745,447803.58752370666,185952.27603942424,447816.4571390183,T_21,20.488059757087225,3
ml,odd,78335578,185936.33447129745,447803.58752370666,185953.91059545256,447846.19999875966,T_21,46.094936494785465,3
ml,odd,34191966,185936.33447129745,447803.58752370666,185957.77336186185,447859.53228377085,T_21,59.911953792810095,3
ml,odd,07610752,185937.1553057375,447828.5703538891,185950.86147442998,447859.80900700914,T_20,34.113230702793054,3
ml,odd,78335578,185937.1553057375,447828.5703538891,185949.39340722404,447856.8264725463,T_20,30.792521325260214,3
ml,odd,34191966,185937.1553057375,447828.5703538891,185950.98448893972,447856.4742688924,T_20,31.14281266281408,3
ml,odd,07610752,185937.97614291884,447853.5531838686,185948.5123005311,447858.686808473,T_19,11.720269570684277,3
ml,odd,34191966,185937.97614291884,447853.5531838686,185947.8946164915,447853.7855100927,T_19,9.921194156261393,3
ml,odd,78335578,185937.97614291884,447853.5531838686,185948.02266997728,447857.8436537578,T_19,10.924323219605274,3
ml,odd,78335578,185938.7969828425,447878.5360136447,185951.59105882555,447860.6356043731,T_18,22.00256876709165,3
ml,odd,34191966,185938.7969828425,447878.5360136447,185955.6178794887,447864.2687148799,T_18,22.056708231913145,3
ml,odd,07610752,185938.7969828425,447878.5360136447,185993.45234797453,447895.7658674265,T_18,57.30686520006127,3
ml,odd,78335578,185939.61782550818,447903.5188432166,185972.35757630537,447890.02953613043,T_17,35.40978237615757,4
ml,odd,07610752,185939.61782550818,447903.5188432166,185959.80772731747,447931.325641129,T_17,34.36350018857486,4
ml,odd,34191966,185939.61782550818,447903.5188432166,185947.91976754143,447884.7976740309,T_17,20.47936564455712,4
ml,odd,34191966,185940.4386709151,447928.50167259894,185955.46583894527,447937.4235118835,T_16,17.47612643655307,4
ml,odd,07610752,185940.4386709151,447928.50167259894,186004.0622546411,447915.75221647526,T_16,64.88843531469517,4
ml,odd,78335578,185940.4386709151,447928.50167259894,186005.16655289455,447918.56818090583,T_16,65.48566990391032,4
ml,odd,34191966,185941.25951906442,447953.4845017775,185906.44902737412,447946.56608367094,T_15,35.49133472859809,4
ml,odd,07610752,185941.25951906442,447953.4845017775,185996.12237812014,447927.99706140213,T_15,60.494156086817746,4
ml,odd,78335578,185941.25951906442,447953.4845017775,185960.227046082,447891.43808385055,T_15,64.88085278978568,4
ml,odd,34191966,185942.08036995534,447978.4673307617,185975.9649578636,447982.703296122,T_14,34.148333784325324,4
ml,odd,07610752,185942.08036995534,447978.4673307617,185960.68602797593,447911.66655986087,T_14,69.34344600124355,4
ml,odd,78335578,185942.08036995534,447978.4673307617,185976.4118977546,447951.46198642545,T_14,43.68000027187851,4
ml,odd,78335578,185942.90122358795,448003.45015954255,185983.6589205581,447961.26578927424,T_13,58.65757374155124,4
ml,odd,07610752,185942.90122358795,448003.45015954255,185956.61248699544,447981.472180684,T_13,25.904252526127458,4
ml,odd,34191966,185942.90122358795,448003.45015954255,185956.16943200838,448017.5783676129,T_13,19.381734132092195,4
ml,odd,524B0778,185943.7220799631,448028.43298812915,185987.96243137875,448033.8927514293,T_12,44.57597681120925,3
