tag,cp,error,x_cal,y_cal,x_est,y_est
07610752,D_19,26.373309094243073,186340.98442639218,447940.3509345636,186331.75752517942,447915.6443417878
78335578,D_19,24.996266660221757,186340.98442639218,447940.3509345636,186340.1635814228,447915.36814928084
78335578,D_2,34.66223845598734,186360.22135402987,447764.65060632967,186335.9253135362,447789.3725235512
07610752,D_2,29.870770668061812,186360.22135402987,447764.65060632967,186384.33246510182,447747.0177601845
34191966,D_2,42.64761782855051,186360.22135402987,447764.65060632967,186402.8248056844,447762.7101905054
07610752,D_20,29.64966488251933,186340.1635814228,447915.36814928084,186358.43697116995,447938.71736457373
34191966,D_20,17.8295118380438,186340.1635814228,447915.36814928084,186326.37309497286,447926.6692101097
78335578,D_20,36.59056276058272,186340.1635814228,447915.36814928084,186373.49716738495,447930.4592503023
07610752,D_21,26.353225358523755,186339.34273919833,447890.385363798,186330.179000471,447865.67669367325
34191966,D_21,97.51710525394343,186339.34273919833,447890.385363798,186375.6749889378,447980.8815153514
78335578,D_21,55.648558253514175,186339.34273919833,447890.385363798,186366.03452252824,447939.2147682421
07610752,D_22,18.705727634579187,186338.52189971888,447865.4025781132,186321.43462664267,447857.7914451385
34191966,D_22,58.40410605976557,186338.52189971888,447865.4025781132,186372.1793555129,447913.1332315145
78335578,D_22,8.702909089190346,186338.52189971888,447865.4025781132,186330.1639604806,447867.828578588
07610752,D_23,36.599499565641274,186337.701062984,447840.4197922279,186354.98657724893,447872.6802070587
34191966,D_23,29.62076659014575,186337.701062984,447840.4197922279,186361.7278999508,447823.09637112357
78335578,D_23,18.855391477344558,186337.701062984,447840.4197922279,186320.60413973386,447832.46862859343
07610752,D_24,68.19231265533249,186336.88022899462,447815.4370061459,186343.40307281102,447747.5573772884
34191966,D_24,48.368766823742845,186336.88022899462,447815.4370061459,186379.0879601937,447839.05998290743
78335578,D_24,52.331609863746436,186336.88022899462,447815.4370061459,186318.30490775369,447766.51303623617
07610752,D_3,82.54122191026872,186359.40052847477,447739.6678223897,186276.89438411104,447742.07395137055
34191966,D_3,58.74314997408188,186359.40052847477,447739.6678223897,186399.0244903671,447696.3007921382
78335578,D_3,60.05220266377445,186359.40052847477,447739.6678223897,186408.7729605579,447705.4825917342
07610752,D_4,24.394531498657397,186358.579705665,447714.685038251,186335.7986067588,447723.4094121348
78335578,D_4,50.78294448651277,186358.579705665,447714.685038251,186387.8229012598,447673.167054652
34191966,D_4,34.35647285744334,186358.579705665,447714.685038251,186391.97206809602,447722.76695377147
07610752,D_5,52.18752196389274,186357.7588856004,447689.70225392113,186407.7238375528,447704.7701344996
34191966,D_5,1.036688677255013,186357.7588856004,447689.70225392113,186356.88767737735,447689.1403645676
78335578,D_5,46.10401863374197,186357.7588856004,447689.70225392113,186401.05948592845,447673.87068591884
78335578,D_6,43.07917098662162,186356.93806828125,447664.71946937725,186399.88691111206,447661.37105596357
07610752,D_6,27.71439532250291,186356.93806828125,447664.71946937725,186330.67732787496,447655.86163547693
34191966,D_6,49.010711460294075,186356.93806828125,447664.71946937725,186307.98662215556,447667.12898386107
07610752,D_7,128.89803794886987,186356.11725370627,447639.7366846386,186411.52102782574,447523.35315487435
34191966,D_7,117.9968182512722,186356.11725370627,447639.7366846386,186402.5921373402,447531.277778556
78335578,D_7,93.89317189398359,186356.11725370627,447639.7366846386,186420.29379803283,447571.19984135986
524B0778,E_1,72.3805283416534,186336.05939774952,447790.454219868,186396.2240809493,447830.6929049669
664B1E61,E_1,58.22641224449405,186336.05939774952,447790.454219868,186394.24667614914,447788.3198076982
78521E33,E_1,68.07961020806061,186336.05939774952,447790.454219868,186403.89279842895,447796.2389478949
524B0778,E_11,11.489719961008689,186327.8512362715,447540.6263460111,186335.79453199334,447532.3246764286
78521E33,E_11,60.826674380707665,186327.8512362715,447540.6263460111,186385.86762848365,447522.35115652095
664B1E61,E_11,75.34267697545633,186327.8512362715,447540.6263460111,186403.03910549948,447545.45369463984
524B0778,E_12,11.96490342508987,186327.03043522008,447515.643557522,186336.3541820728,447523.14200126706
664B1E61,E_12,65.7254208666145,186327.03043522008,447515.643557522,186330.08235221746,447581.2980832665
78521E33,E_12,26.94617051111246,186327.03043522008,447515.643557522,186353.7426052039,447512.1001015862
664B1E61,E_13,53.296738873033505,186326.20963691408,447490.6607688311,186366.3755161423,447455.62871892925
78521E33,E_13,23.36710372863457,186326.20963691408,447490.6607688311,186324.01114353555,447467.3973175925
524B0778,E_13,41.757285202043825,186326.20963691408,447490.6607688311,186302.74400416767,447525.2011068036
524B0778,E_14,124.03873052290837,186325.3888413525,447465.6779799357,186287.55165098267,447583.80483418424
78521E33,E_14,26.016527961169945,186325.3888413525,447465.6779799357,186317.85514060897,447490.5798489471
664B1E61,E_14,50.771179087272635,186325.3888413525,447465.6779799357,186375.7109944165,447472.4154525269
524B0778,E_15,104.06181786863363,186324.5680485357,447440.6951908304,186302.4826693554,447542.38638004847
78521E33,E_15,52.46860733683915,186324.5680485357,447440.6951908304,186342.7264597054,447489.9214730347
664B1E61,E_15,57.95398488430002,186324.5680485357,447440.6951908304,186366.47309845948,447480.72806675575
524B0778,E_16,30.411042852517575,186318.4641922353,448016.1201439249,186300.45124428842,447991.6177923308
78521E33,E_16,25.218872594515187,186318.4641922353,448016.1201439249,186326.81031171823,447992.32237460685
664B1E61,E_16,23.68445828262424,186318.4641922353,448016.1201439249,186333.9822118657,447998.22755800525
78521E33,E_17,8.139028128966345,186317.6433388335,447991.1373564966,186325.67820663773,447992.43530805677
524B0778,E_17,18.863268020711168,186317.6433388335,447991.1373564966,186334.5339897809,447982.73921438097
664B1E61,E_17,9.111114592893022,186317.6433388335,447991.1373564966,186326.71858833852,447990.3297331027
524B0778,E_18,44.87153833732027,186316.82248817538,447966.1545688558,186334.30461768882,448007.4804699402
78521E33,E_18,18.752264094098695,186316.82248817538,447966.1545688558,186333.8232997557,447974.06783709757
664B1E61,E_18,29.440749778827005,186316.82248817538,447966.1545688558,186333.18950888002,447990.6265606177
524B0778,E_19,18.7273740617924,186316.00164026287,447941.1717810293,186332.60048746894,447932.500402207
78521E33,E_19,26.084065150908298,186316.00164026287,447941.1717810293,186323.8540706046,447916.2977425047
