tag,cp,error,x_cal,y_cal,x_est,y_est,node_count,round,dets,habitat
521E521E,B_3,28.901021449344498,186413.47024342607,447862.9400646252,186398.1501277187,447838.43367575353,12,one,NA,2
071E2A4C,B_3,19.71245472228895,186413.47024342607,447862.9400646252,186420.42491887,447844.495191065,24,two,310,2
07610752,B_3,49.10428827131216,186413.47024342607,447862.9400646252,186421.6633178237,447911.35601921193,25,two,292,2
554B554C,B_3,32.289480037635194,186413.47024342607,447862.9400646252,186444.54607926728,447871.7094972106,22,two,313,2
2D1E4C2A,B_4,63.82018835518362,186412.64940729,447837.9572869847,186362.6100609742,447798.3456692195,25,one,NA,2
2D2D5555,B_4,52.824696340349185,186412.64940729,447837.9572869847,186386.55564986425,447792.0272927886,14,one,NA,2
521E521E,B_4,84.08369085604747,186412.64940729,447837.9572869847,186401.90629756064,447754.5627268425,11,one,NA,2
071E2A4C,B_4,7.967733330162218,186412.64940729,447837.9572869847,186418.80789526572,447843.0127592944,24,two,338,2
07610752,B_4,18.777175523235787,186412.64940729,447837.9572869847,186424.13896379288,447852.8089674283,23,two,335,2
554B554C,B_4,8.59764666278107,186412.64940729,447837.9572869847,186419.33567459276,447843.3622252539,25,two,372,2
2D1E4C2A,B_5,8.317140674771641,186411.8285738986,447812.97450913256,186403.5528360528,447813.80335900525,24,one,NA,2_3
2D2D5555,B_5,25.935249172321416,186411.8285738986,447812.97450913256,186404.64698545085,447837.8956234134,9,one,NA,2_3
521E521E,B_5,26.8512767859278,186411.8285738986,447812.97450913256,186386.6668143989,447822.3487783795,20,one,NA,2_3
2D1E4C2A,B_6,53.37936347868394,186411.0077432533,447787.9917310898,186379.3393629486,447830.9623039771,25,one,NA,3
2D2D5555,B_6,16.19188526675489,186411.0077432533,447787.9917310898,186394.97700434775,447785.7130124513,15,one,NA,3
521E521E,B_6,30.054199263272103,186411.0077432533,447787.9917310898,186395.6583397767,447813.8306688827,18,one,NA,3
2D1E4C2A,B_7,68.99494192237724,186410.18691535312,447763.0089528427,186342.79834563629,447748.2075109402,23,one,NA,3
2D2D5555,B_7,36.70277299867893,186410.18691535312,447763.0089528427,186395.25454884465,447796.5368214933,16,one,NA,3
521E521E,B_7,10.20505310387464,186410.18691535312,447763.0089528427,186399.98739106156,447762.67307626,15,one,NA,3
2D1E4C2A,B_8,0.9205054631143428,186409.36609019895,447738.02617439354,186408.55013136112,447738.4522512441,22,one,NA,2_3
2D2D5555,B_8,53.425920614851655,186409.36609019895,447738.02617439354,186390.57572901665,447688.0136627571,6,one,NA,2_3
521E521E,B_8,57.140945836235815,186409.36609019895,447738.02617439354,186368.30142983215,447698.2922926297,12,one,NA,2_3
2D1E4C2A,B_9,23.098199115006462,186408.54526779015,447713.04339573934,186391.43523444148,447697.52651586087,19,one,NA,3
2D2D5555,B_9,35.49872667997566,186408.54526779015,447713.04339573934,186382.73477903768,447688.67172640265,11,one,NA,3
521E521E,B_9,30.201423346558276,186408.54526779015,447713.04339573934,186383.8954604881,447730.49369579775,15,one,NA,3
071E2A4C,B_9,89.06714933743646,186408.54526779015,447713.04339573934,186370.77536707168,447793.705603066,26,two,291,3
07610752,B_9,139.2340020444094,186408.54526779015,447713.04339573934,186412.5915543298,447852.21859069355,23,two,256,3
554B554C,B_9,141.15838443998052,186408.54526779015,447713.04339573934,186413.5240611022,447854.1139494168,21,two,242,3
4B2A5555,C_1,31.345856246358963,186387.66662859984,447838.7781218616,186385.06271132905,447807.5406072571,16,one,NA,1
55346178,C_1,39.456517129049416,186387.66662859984,447838.7781218616,186403.97652601317,447802.8503611421,24,one,NA,1
782D5207,C_1,26.026075250632157,186387.66662859984,447838.7781218616,186395.04885732173,447813.8209727446,20,one,NA,1
192A344C,C_1,28.95709572749356,186387.66662859984,447838.7781218616,186402.4009483128,447813.8499607669,25,two,190,1
2D1E4C2A,C_1,58.98203914416148,186387.66662859984,447838.7781218616,186361.98562946412,447785.68040792784,34,two,345,1
2D2D5555,C_1,52.20212477639047,186387.66662859984,447838.7781218616,186432.13298185897,447811.432093649,18,two,138,1
55346178,C_13,82.04076634272187,186377.81680670183,447538.9847415364,186346.8939751887,447614.9746476642,15,one,NA,1
4B2A5555,C_13,33.531677243059306,186377.81680670183,447538.9847415364,186409.9071654854,447529.25940082903,10,one,NA,1
782D5207,C_13,29.937870227580817,186377.81680670183,447538.9847415364,186393.6915612271,447513.6023018876,10,one,NA,1
55346178,C_14,52.435503971167314,186376.99600605428,447514.00195852807,186427.48100282525,447528.1704862478,15,one,NA,2
782D5207,C_14,17.871645408729137,186376.99600605428,447514.00195852807,186393.50681030095,447520.84221091686,10,one,NA,2
4B2A5555,C_14,77.11679185423303,186376.99600605428,447514.00195852807,186404.37436623595,447586.0951272728,8,one,NA,2
55346178,C_15,18.368648234017535,186376.1752081521,447489.0191753251,186359.85584186556,447480.5879522851,17,one,NA,2
782D5207,C_15,61.14900874880471,186376.1752081521,447489.0191753251,186419.69354795897,447531.9767750185,11,one,NA,2
4B2A5555,C_15,20.644307216880993,186376.1752081521,447489.0191753251,186357.56341858912,447480.0867227096,9,one,NA,2
