k,tag,cp,error,x_cal,y_cal,x_est,y_est,node_count
9,332D1907,WNC_46,24.805841956344413,186372.363663439,447911.330993257,186383.67053066776,447933.4100455155,9
9,784C3352,WNC_46,11.529876688344917,186372.363663439,447911.330993257,186360.83380866668,447911.30851265165,21
9,784C3352,WNC_47,46.81952123173213,186390.96490791868,447977.20406837197,186357.5424190421,447944.41680246487,28
9,2A4C3361,WNC_47,41.962421945513796,186390.96490791868,447977.20406837197,186396.01429889098,447935.5465539677,14
9,332D1907,WNC_47,49.643407056702756,186390.96490791868,447977.20406837197,186341.76516296485,447970.5819115726,9
9,784C3352,WNC_48,47.5314274620451,186331.90928378297,447936.890132064,186379.28404772546,447933.03418367583,26
9,2A4C3361,WNC_48,18.42628232139303,186331.90928378297,447936.890132064,186340.23203678717,447953.32970817224,22
9,332D1907,WNC_48,47.85964013140361,186331.90928378297,447936.890132064,186370.2213122523,447965.573465693,9
9,784C3352,WNC_49,32.53945485717787,186291.77797128228,448031.0987771199,186277.27916429358,448001.9680250131,29
9,2A4C3361,WNC_49,24.356794556081503,186291.77797128228,448031.0987771199,186277.17387656536,448011.60585895594,21
9,332D1907,WNC_49,18.02513752483683,186291.77797128228,448031.0987771199,186280.50476730155,448017.0339111483,9
9,072D1E2A,WNC_5,28.65544082404974,185962.26027488074,447693.37144724577,185990.38853998072,447698.8427351459,35
9,2D2A784C,WNC_5,34.38407771297978,185962.26027488074,447693.37144724577,185994.34127778886,447705.7437571587,42
9,6119331E,WNC_5,30.4203781867643,185962.26027488074,447693.37144724577,185991.5976286461,447701.4162644017,37
9,2A4C3361,WNC_50,6.665013972739783,186262.61624441933,447963.60227361537,186268.95262557876,447961.5352261899,23
9,784C3352,WNC_50,14.433347429424757,186262.61624441933,447963.60227361537,186262.00993237394,447978.0228805278,26
9,332D1907,WNC_50,40.38018826387156,186262.61624441933,447963.60227361537,186260.9030987193,448003.946105065,12
9,2A4C3361,WNC_52,21.616969182525537,186022.77354227012,448040.2066712774,186004.2259980102,448029.10343037377,32
9,332D1907,WNC_52,44.32816414215673,186022.77354227012,448040.2066712774,185999.23307256878,448077.76772054995,24
9,784C3352,WNC_52,12.744761310275443,186022.77354227012,448040.2066712774,186016.80113885706,448028.94792630617,36
9,2A4C3361,WNC_54,48.842910513748166,185980.9338687536,448024.3723232366,185999.09653013604,448069.71267655416,31
9,784C3352,WNC_54,15.11908928144211,185980.9338687536,448024.3723232366,185994.5402254787,448030.9642817748,35
9,332D1907,WNC_54,72.11705248666108,185980.9338687536,448024.3723232366,185991.91670895123,448095.64817104326,19
9,2A4C3361,WNC_56,25.219819817741758,185930.97319422744,447967.20277590223,185930.1277888615,447941.99712968146,32
9,332D1907,WNC_56,100.24093926069277,185930.97319422744,447967.20277590223,185854.5124382751,448032.0256013811,22
9,784C3352,WNC_56,3.077482336310871,185930.97319422744,447967.20277590223,185927.89952708018,447967.3559679327,37
9,2A4C3361,WNC_58,38.5891835621149,185898.50336415658,447934.07210550155,185872.17284926443,447962.28254813375,35
9,784C3352,WNC_58,32.08080867647894,185898.50336415658,447934.07210550155,185879.18026884648,447959.68062504043,36
9,332D1907,WNC_58,108.89402716263487,185898.50336415658,447934.07210550155,185856.25781905203,448034.4375530944,20
9,2D331955,WNC_6,30.713486166545962,186005.8557535937,447571.6962201971,186010.82438216216,447602.0051456589,36
9,4C2A341E,WNC_6,32.771991695428035,186005.8557535937,447571.6962201971,186010.708306206,447604.10696182435,36
9,78524B34,WNC_6,43.72779334144759,186005.8557535937,447571.6962201971,186023.27681189962,447611.8039082134,37
9,2A4C3361,WNC_60,11.739326180709309,185887.25704521805,447832.5288179123,185896.52084322582,447839.73949233623,34
9,332D1907,WNC_60,85.94130983845115,185887.25704521805,447832.5288179123,185816.35671898964,447881.0988959177,24
9,784C3352,WNC_60,49.363799977584634,185887.25704521805,447832.5288179123,185866.71202256935,447787.64355538,37
9,2A786119,WNC_61,24.564859512195543,185840.02490157183,447921.577019618,185862.73073216795,447930.95132384787,36
9,4C524C66,WNC_61,69.09442032232387,185840.02490157183,447921.577019618,185851.7326899426,447989.6722956006,30
9,78073433,WNC_61,79.88866102363495,185840.02490157183,447921.577019618,185828.1909917257,448000.5843404048,29
9,2A4C3361,WNC_62,21.12455810101589,185865.1376226906,447690.64941995713,185844.28069725013,447694.0013770173,32
9,332D1907,WNC_62,114.21636203744895,185865.1376226906,447690.64941995713,185752.4792596165,447709.45023341104,19
9,784C3352,WNC_62,71.99258349555136,185865.1376226906,447690.64941995713,185881.15371323764,447760.83785862016,37
9,2A786119,WNC_63,9.046813663923679,185834.86560899633,447990.08943822584,185842.16283493617,447984.74197798263,36
9,4C524C66,WNC_63,11.843186693969043,185834.86560899633,447990.08943822584,185840.1730345311,448000.6768035856,33
9,78073433,WNC_63,42.7351148602968,185834.86560899633,447990.08943822584,185831.74733091003,448032.71063464147,26
9,2A786119,WNC_65,10.876875124849771,185855.60021204653,448045.17448891647,185854.64165437367,448034.33993402624,34
9,4C524C66,WNC_65,24.502678298041012,185855.60021204653,448045.17448891647,185865.54115243652,448067.5700006976,28
9,78073433,WNC_65,24.67227839426455,185855.60021204653,448045.17448891647,185850.4506243405,448069.3033734249,27
9,2A786119,WNC_67,48.63168868794348,185822.646624738,448056.76765762625,185854.82075801527,448020.30032577296,34
9,4C524C66,WNC_67,15.185948485546469,185822.646624738,448056.76765762625,185835.9181117396,448049.3865557998,25
9,78073433,WNC_67,15.30785376480408,185822.646624738,448056.76765762625,185837.70287960442,448054.00367928296,28
9,2A786119,WNC_69,31.716090431079934,185832.28995987296,448095.77171825303,185855.80034460392,448074.48387660494,32
9,4C524C66,WNC_69,59.808127264184314,185832.28995987296,448095.77171825303,185842.59672173392,448036.8583687744,24
9,78073433,WNC_69,56.82728145889222,185832.28995987296,448095.77171825303,185852.9746717287,448042.84268450545,18
9,072D1E2A,WNC_7,13.556856739619402,185988.53761122632,447750.9441712381,185978.58267954833,447741.7415792149,36
9,2D2A784C,WNC_7,32.018967627437306,185988.53761122632,447750.9441712381,185969.4961071294,447776.68587688584,40
9,6119331E,WNC_7,9.937808566943724,185988.53761122632,447750.9441712381,185995.12375967277,447758.3861258036,36
9,4C2A341E,WNC_8,20.479421587806094,186013.0032459768,447603.0005939408,186032.56100245577,447609.0752025768,40
9,78524B34,WNC_8,31.92822437353848,186013.0032459768,447603.0005939408,186040.55571621278,447619.13356934965,40
9,2D331955,WNC_8,16.612436678165352,186013.0032459768,447603.0005939408,186029.41101312236,447605.60025347304,38
9,072D1E2A,WNC_9,1.2744938024513495,185959.75083256856,447810.17970481253,185960.24487132905,447811.35454954935,36
